Date,Portfolio_Value
2023-02-02,16413.6764965743
2023-02-03,16489.98903241278
2023-02-06,16432.615812656713
2023-02-07,16523.247729514984
2023-02-08,16381.217547750372
2023-02-09,16262.066737321895
2023-02-10,16388.08441841904
2023-02-13,16567.782076188007
2023-02-14,16582.377260824516
2023-02-15,16626.928009796342
2023-02-16,16421.781686077433
2023-02-17,16516.140463372856
2023-02-21,16222.61504366574
2023-02-22,16231.622786718552
2023-02-23,16227.155242152156
2023-02-24,16005.037869192336
2023-02-27,16060.56432714839
2023-02-28,15905.084210229092
2023-03-01,15846.082342062611
2023-03-02,16026.085019733971
2023-03-03,16294.166228934826
2023-03-06,16456.498638076147
2023-03-07,16265.90206953369
2023-03-08,16270.935812628824
2023-03-09,16090.305474630879
2023-03-10,16026.861446824905
2023-03-13,16106.004042543058
2023-03-14,16318.999413205463
2023-03-15,16226.988168507063
2023-03-16,16433.984134125436
2023-03-17,16234.982887145148
2023-03-20,16490.29031804167
2023-03-21,16523.372181793133
2023-03-22,16348.945219925175
2023-03-23,16365.829851955845
2023-03-24,16561.52961073168
2023-03-27,16537.02244164588
2023-03-28,16451.61111014525
2023-03-29,16646.22501899358
2023-03-30,16737.10660204097
2023-03-31,16900.917575411946
2023-04-03,17066.846548834703
2023-04-04,17159.434803686676
2023-04-05,17301.201703565566
2023-04-06,17274.711435109748
2023-04-10,17220.718520500355
2023-04-11,17181.697741749485
2023-04-12,17289.902964719065
2023-04-13,17619.523931225813
2023-04-14,17535.06238676443
2023-04-17,17458.12638485008
2023-04-18,17510.522166414183
2023-04-19,17575.246022811523
2023-04-20,17574.526318946602
2023-04-21,17548.388707560727
2023-04-24,17551.379399021367
2023-04-25,17364.89552553484
2023-04-26,17013.50845024577
2023-04-27,17281.778981617812
2023-04-28,17304.28283903563
2023-05-01,17332.860767762402
2023-05-02,17246.246795697407
2023-05-03,17131.032004433237
2023-05-04,17068.07192281533
2023-05-05,17275.95015129398
2023-05-08,17282.829673445987
2023-05-09,17169.355016171045
2023-05-10,17261.484960826063
2023-05-11,17239.870983853823
2023-05-12,17274.518629231196
2023-05-15,17220.040938286027
2023-05-16,17067.50041383205
2023-05-17,17134.64233344463
2023-05-18,17106.88292010788
2023-05-19,17107.73059733248
2023-05-22,17084.628988349432
2023-05-23,16793.26684640739
2023-05-24,16739.648079124574
2023-05-25,16642.3941976901
2023-05-26,16849.165525944496
2023-05-30,16793.707657471306
2023-05-31,16750.487235443477
2023-06-01,16789.106454499164
2023-06-02,17015.04861739727
2023-06-05,16942.30010836534
2023-06-06,16939.203843116095
2023-06-07,16962.39025081876
2023-06-08,17170.716573462687
2023-06-09,17122.798842436507
2023-06-12,17228.562256029734
2023-06-13,17223.137014561107
2023-06-14,17247.42317415789
2023-06-15,17427.821503780233
2023-06-16,17577.91516437444
2023-06-20,17448.64861463439
2023-06-21,17521.709009565453
2023-06-22,17567.521959548892
2023-06-23,17422.33729754659
2023-06-26,17334.49400834488
2023-06-27,17421.148318324977
2023-06-28,17397.324156700357
2023-06-29,17474.380741073677
2023-06-30,17716.878111787322
2023-07-03,17629.901040651966
2023-07-05,17575.913237149718
2023-07-06,17352.869797400686
2023-07-07,17259.88995705483
2023-07-10,17260.964204390675
2023-07-11,17388.948523723273
2023-07-12,17537.818634637726
2023-07-13,17687.60443881332
2023-07-14,17719.05963479258
2023-07-17,17671.40354476263
2023-07-18,17528.362702542934
2023-07-19,17458.6668872729
2023-07-20,17758.855325871056
2023-07-21,17911.20192662134
2023-07-24,17886.55490647202
2023-07-25,17764.707325747702
2023-07-26,17690.948968328572
2023-07-27,17639.839427193852
2023-07-28,17741.433638357616
2023-07-31,17629.31040690438
2023-08-01,17555.158176837576
2023-08-02,17400.602311618328
2023-08-03,17293.012823529432
2023-08-04,17037.27443182852
2023-08-07,17110.44420998949
2023-08-08,17088.44095519134
2023-08-09,17082.29525569453
2023-08-10,17095.991080234675
2023-08-11,17154.14452364361
2023-08-14,17103.69033693787
2023-08-15,16872.61360530194
2023-08-16,16843.53232937013
2023-08-17,16760.11501063033
2023-08-18,16762.769896085818
2023-08-21,16711.247021823267
2023-08-22,16731.0754985464
2023-08-23,16826.835127343915
2023-08-24,16642.474854088538
2023-08-25,16794.886469283716
2023-08-28,16849.709167882822
2023-08-29,16963.911339620536
2023-08-30,17000.707509542557
2023-08-31,16817.590730582026
